Turkish,English
önemli,important
tekrar,again
git,go
nın,of
yoksa,or?
hala,still
işte,at work
oh,oh
benimle,with me 
içinde,inside
mısın,are you
yine,again
mü,Is it
bence,according to me
şekilde,way
olmak,to be
bugün,Today
söyle,Like this
birlikte,together
olmaz,Impossible
pekala,ok
uzun,LONG
lazım,required
biliyorsun,you know
zaten,already
para,money
ilk,first
geliyor,is coming
onunla,with it
gerçek,real
dostum,my friend
al,take it
bakalım,let's see
onlar,them
haydi,come on
birkaç,a few 
emin,sure
üç,fly
herkes,everyone
dakika,minute
ı,i
söyledi,said
istiyorsun,you want
pek,much
ister,whether...or
saat,hour
yapıyorsun,you are doing
eve,home
yıl,year
miyim,Am I
çocuk,child
yer,place
hep,always
şunu,this
neler,what
dilerim,I hope
bekle,wait
sizin,yours
bırak,leave       
olduğu,is
ilgili,relating to
gidelim,let's go
yere,to the ground
etmek,to do
an,moment
dan,from
nedir,why
un,reputation
nereye,To where
hepsi,all
istemiyorum,I don't want
olmalı,must be
buradan,from here
lanet,curse
karşı,opposite
kaç,how much
az,little
burası,here
hazır,ready
fakat,but
eski,old
çocuklar,kids
kendini,self
ediyorum,I do
gerekiyor,needs
benden,from me
yapmak,to do
kadın,Woman
söz,promise
kesinlikle,Definitely
zor,difficult
işe,whereas
anda,at the moment
tane,unit
diğer,other
dinle,listen
bunlar,these
işi,heat
kişi,person
görmek,to see
kabul,acceptance
niye,Why
istiyor,wants
seviyorum,I love
aman,Oh
sağ,Right
zorunda,have to
misiniz,are you
tanrı,god
yarın,tomorrow
kez,times
bundan,from this
İki,Two
elbette,certainly
falan,like
gidip,go and go
hem,both
yanlış,wrong
onlara,them
senden,from you
hoş,pleasant
doktor,doctor
tatlım,sweetie
yapma,don't do that
özel,special
yemek,food
hafta,week
kontrol,control
ediyor,does
gereken,required
yerde,on the ground
oraya,there
hâlâ,still
geç,late
dedim,I said
mutlu,Happy
ye,eat
bazı,some
birini,someone
ayrıca,Moreover
ondan,from him
eminim,I am sure
nereden,from where
etti,did
dışarı,outside
beri,since
gitti,gone
yalan,Lie
edin,get it
bakın,Look
yalnız,only
insan,person 
gördüm,I saw 
değildi,wasn't
merak,curiosity
insanlar,people
polis,police
ihtiyacım,I need
erkek,Male
görüşürüz,see you later
dün,Yesterday
ah,Ah
haber,news
la,la
musunuz,Are you
babam,my father
gidiyor,going
pekâlâ,ok
yi,good
olmuş,dead
akşam,evening
den,from
geçen,last
sakin,beware
ha,Ha
sanki,as if
beş,five
karar,decision
nefret,hate
sabah,morning
yaptım,I did
veya,or 
dikkat,attention
umarım,I hope
yerine,in its place
çabuk,quick
etme,don't
olması,to be
farklı,different
değilsin,you are not
ay,month
sonunda,finally
gördün,you saw
ettim,I did
sence,do you think
fark,difference
üzerinde,on
aptal,stupid
kendimi,myself
tamamen,completely
oldukça,increasingly
su,This
boyunca,along
kendine,yourself
tarafından,by
yeter,enough
dünya,World
u,u
yı,yi
olduğumu,i am
bunları,these
vardır,there is
öldü,died
olursa,if it happens
açık,open 
neyse,Anyway
annem,my mother
kes,cut
İlk,First
istediğim,I want
adı,ordinary
dr.,Dr.
yaptın,you did
yap,do
hangi,Which
olamaz,I can't be
ancak,however
söyledim,I said
görünüyor,looks
dört,four
yüzünden,because
aldım,I bought
olsa,though
birşey,Something
birisi,someone
be,be
yoktu,there wasn't
kolay,easy
dolar,dollar
dedi,he said
sahip,owner
ise,whereas
olmadığını,is not
yanında,next to you
gelecek,future
adamı,man
bende,Me too
buldum,I found
yol,path
geldim,I am here
bazen,Sometimes
konuşmak,to talk
başına,per
gitmek,to go
anlıyorum,I understand
beraber,together
henüz,yet
yapıyor,doing
yolu,way
bitti,finished
onların,their
cevap,reply
evde,at home
yardımcı,helper
zamanı,time
almak,to take  
konusunda,about
genç,youth
oldum,I became
nun,of
takip,follow-up
kal,stay
öyleyse,then
kahretsin,damn it
durum,situation
tabi,subject to
günü,day
ateş,fire    
adamın,your man
muhtemelen,probably
adım,my name
istedim,I wanted
söylemek,to say
azından,at least
düşündüm,I think
le,with
yaptı,did
neredeyse,almost
eder,does
olun,be
yeniden,again  
düşünüyorsun,you think
ciddi,serious
vay,Wow
herhangi,any
ev,house
hızlı,fast
sanmıyorum,I don't think so
süre,duration
içeri,in
altında,under
mükemmel,Perfect
göz,eyelash
kan,blood
düşünüyorum,I am thinking
ara,call
boş,empty
miyiz,are we
konuda,on the subject
halde,in state
duydum,I heard
oğlum,my son
şeyin,of the thing
uzak,far
gelen,incoming
aç,hungry
işin,ray
hayatta,alive
çıktı,output
sakın,beware
saniye,second
yakın,close
anladım,I understand
garip,strange
john,John
olduğuna,that it is
on,front
arada,in between
hayal,dream
gidiyorum,I am going
araba,car 
çeviri,translation
çalışıyorum,I am working
jack,Jack
söylüyor,says
sürü,herd
hepimiz,all of us
kaldı,stayed
galiba,probably
canım,Darling
hayatım,My love
rahat,comfortable
kimin,who's?
alo,Hello
olacağım,I will be
güçlü,strong
savaş,war
verdi,gave
ta,ta
ortaya,emerge
şeye,to the thing
bebeğim,My baby
başladı,started
dersin,you say
gelip,come and
hayat,life
bilirsin,you know
çalışıyor,working
durumda,case
hatta,even
geldin,you came
yaptığını,what you did
sende,you too
olay,event
şeyleri,things
adamım,man
kesin,definite
arasında,between
arkadaşım,My friend
hareket,movement
altı,six
bebek,baby
kardeşim,my brother
çocuğu,child
böylece,like this
acaba,I wonder?
sürekli,continually
bin,thousand
ihtiyacı,need
haklısın,you are right
soru,question
olmadan,without
hava,weather
terk,abandon
silah,weapon
olacağını,will happen
yapacağım,I will do it
gelir,income
varsa,if any
komik,comic
kısa,short
aynen,Exactly
etmeye,to do
üzerine,over
el,hand
zarar,damage
şaka,joke
birinin,someone's
güle,bye
zamanda,in time
siktir,Fuck
daki,in
acele,rush
telefon,telephone
ait,belonging to
gizli,hidden
oyun,game
kızı,daughter
şuna,to that
diyorsun,you say
yeterince,enough
verdim,I gave
evlat,son
geçti,passed
baban,your father
olmayacak,won't happen
dışında,outside
yolunda,on your way
hepsini,all
uygun,suitable
dans,dance
günaydın,Good morning
kapıyı,the door
olurdu,would be
tuhaf,strange
memnun,pleased
hissediyorum,I feel
fikir,idea
yüksek,high
new,new
olmadı,It didn't happen
beyler,gentlemen
tür,type
verin,give
değildir,is not
korkunç,terrible
rahatsız,uncomfortable
gidiyoruz,we are going
gerektiğini,should
geceler,good night
aldı,took
gidiyorsun,you are going
iyiyim,I am good
kere,times
sanıyordum,I thought
eden,who makes
gelin,bride
veriyorum,I give
edecek,will
beyaz,white
yaşlı,old
mümkün,possible
neyi,What
dolu,full
içine,into
çıkar,interest
ölüm,death
sensin,it's you
nasılsın,How are you
bilmek,to know
belli,clear
sanıyorsun,you think
sevindim,I am pleased
yakında,soon
varmış,there was
tahmin,guess
sam,Sam
herif,guy
durun,stop
parayı,the money
şöyle,Like this
yalnızca,just
vermek,to give
biliyordum,I knew
ediyorsun,you do
acı,angle
yapamam,I can't do it
mısınız,Are you
yapmaya,to do
neydi,what was it
hasta,sick
üzere,about
yapacağız,we will do
istedi,wanted
çeneni,shut up
güvenlik,security
berbat,wretched
annen,your mother
bizimle,with us
geliyorum,I am coming
İçeri,inside
yapacak,will do
dair,about
başkan,minister
dedin,you said
neyin,what
sizinle,with you
dikkatli,carefully
anladın,you got it
yapıyorum,I'm doing
ihtiyacın,your need
olmayan,non-
ihtiyacımız,we need
ölü,dead
aile,family
bırakın,leave
birine,to someone
istediğini,what you want
tatlı,sweet
deli,crazy
milyon,million
normal,normal
söyledin,you said
dışarıda,outside
insanların,of people
diyorum,I say
sefer,expedition
olup,is
pardon,pardon
otur,sit down
yemin,oath
ana,main
te,you
keşke,If only
ettin,you did
dünyanın,of the world
şans,chance
baş,head
affedersiniz,excuse me
evine,to your house
biliyoruz,we know
aşağı,down
yeri,place
İnsanlar,People
millet,people
aşk,love
bununla,with this
çık,get out
kapa,shut down
miydi,was it
at,horse
durumu,status
bilmem,I don't know
arkadaş,friend
kendisi,itself
herkesin,everyone
kusura,sorry
doğum,birth
yapar,does
charlie,Charlie
isterim,I would like
istersen,if you want
yaşında,years old
michael,michael
cidden,really
oradan,from there
the,the
kahve,coffee
hata,mistake
seks,sex
kızlar,girls
kaptan,captain
yavaş,slow
alıp,take away
bakma,look
hayatını,your life
dek,until
yeterli,sufficient
mıydı,was it
zamandır,is time
asıl,royal
bunların,of these
hoşça,nicely
önünde,in front
sessiz,silent
kızım,my daughter
frank,franc
erken,early
aldın,you got it
york,york
sıcak,hot
tehlikeli,dangerous
amerika,America
düşünüyor,thinks
dön,frost
bilgi,information
getir,bring
güç,strength
hak,right
ufak,small
buradayım,I am her
bilmiyor,doesn't know
cinayet,murder
diyor,says
gelmiş,has arrived
üstüne,over
mesaj,message
nefes,breath
ele,hand
birçok,A lot
olmasını,to happen
yüz,face
basit,simple
yukarı,above
çek,Czech
olduğum,i am
köpek,dog
duydun,you heard
edeceğim,I will
evi,house
gayet,quite
şarkı,song
tıpkı,just as
benziyor,looks like
anlaşıldı,understood
inanamıyorum,I can't believe it
olduğun,you are
bulmak,to find
söylüyorum,I'm telling
kızın,your daughter
vakit,time
n,n
yıldır,for years
görüyorum,I see
haklı,right
ses,sound
olsaydı,if
sonraki,next
konu,Subject
almaya,to take
gitmem,I don't go
işler,works
muhteşem,wonderful
görünüyorsun,you look
gidin,go
olacaksın,you will be
neye,whereat
dalga,wave
film,film
adını,your name
kimsenin,nobody
bi,bi
yerinde,in place
bayım,sir
bilmiyordum,I didn't know
yapmam,I don't do
yapacaksın,you will
istediğin,what you want
koca,husband
yu,yu
buldun,you found it
olmalısın,you should be
ikinci,second
anlamıyorum,I don't understand
hatırlıyor,remembers
insanları,people
noel,Christmas
acil,urgent
mike,mike
parti,party
george,George
lan,damn
sebebi,reason
fena,bad
söylemiştim,i told you
yedi,seven
tom,tom
joe,joe
özellikle,especially
zamanlar,times
yaptığı,what he did
bilir,knows
yaparım,I do
alabilir,can take
birden,suddenly
ajan,agent
yanına,next
sebep,reason
eğlenceli,fun
dedektif,detective
adına,on behalf of
düşün,think
rağmen,despite
olmaya,to be
tut,tutu
görünüşe,appearances
herhalde,probably
söylüyorsun,you say
yapalım,let's do
buradaki,here
yoktur,there is no
zavallı,poor
david,David
yemeği,dinner
baksana,look at
temiz,clean
babası,his father
arkadaşın,your friend
içki,drink
söyleme,don't say
burda,here
İşe,Whereas
allah,Allah
parçası,part of
s,s
biriyle,with someone
üstünde,above
şeyden,from something
istiyorsan,if you want
uyuşturucu,drugs
konuşma,speech
olduğundan,since
öldürmek,kill
sesini,your voice
bekliyor,waiting
suç,crime
görüyor,sees
gerçeği,the truth
alın,forehead
katil,killer
sevgili,beloved
peter,Peter
yerini,replace
defa,times
gerekir,should
müzik,music
kayıp,loss
güvenli,trustworthy
tercih,preference
patron,boss
sayın,Dear
gerekiyordu,it was supposed to
çoğu,most
değiliz,we are not
işim,name
geldik,we came
kimseye,to anyone
çoktan,already
dürüst,honest
alacağım,I will buy
eskiden,before
teklif,offer
arkadaşı,friend
dolayı,because
numara,number
sonsuza,forever
geldiniz,you came
bilemiyorum,I don't know
sonu,end
olma,being
unutma,don't forget
kırmızı,red
teslim,delivery
canlı,live
oda,room
yapan,maker
saçma,nonsense
işini,your job
babamın,my father's
yaptığın,what you did
soğuk,cold
verir,gives
kimsin,who are you
bahsediyorsun,you are talking about
bağlı,connected
yapabilirim,i can do
onlardan,from them
bizden,from us
süper,Super
bulduk,we found
hanımefendi,lady
herşey,everything
seviyor,loves
alan,area
yaşıyor,is alive
olmasın,don't let it be
onlarla,with them
davet,Invitation
yapmış,did
ölmüş,dead
yürü,walk
sahibi,owner
kalk,get up
elinde,in hand
umurumda,I care
sıra,order 
istemiyor,doesn't want
çalışıyorsun,you are working
çocukları,children
tanıyor,knows
burayı,here
görmeye,to see
kalan,remainder
istiyoruz,we want
sert,hard
tamamdır,Ok
olası,possible
fikrim,my opinion
aşık,in love
günler,days
adamlar,guys
dava,case
sene,year
çekil,step away
iyisi,best
sağol,Thanks
bakayım,let me see
zorundayım,I have to
anlat,to explain
kavga,fight
anlamı,meaning
İyiyim,I am good
alır,takes
görmedim,I didn't see
kendime,to myself
kral,king
kalmak,to stay
geldiğini,you came
okul,school
şehir,city
gitsin,let it go
park,park
bekleyin,wait
gelmek,to come
İş,Work
kapı,door
yaptığım,what i did
anlamına,means
takım,set
yola,to the road
altına,under
kendim,myself
çocuğun,child's
kara,black
istemedim,I didn't want
hatırlıyorum,I remember
söyleyeyim,let me tell you
edebilir,can
canına,for your life
mesela,for example
iç,drink
güneş,sun 
orası,there
herkese,to everyone
sesi,sound
olayı,incident
şimdiye,until now
pislik,dirt
önceki,former
ağır,heavy
yarım,half
sık,chic
adama,to the man
düşünüyordum,I was thinking
vereceğim,I will give
paul,paul
henry,Henry
hale,halo
anlaşma,agreement
öğrenmek,to learn
etmiş,has done
ikna,persuasion
aşkına,for the sake of
anlıyor,understands
duruyor,stands
olabilirim,i can be
getirdim,I brought
affedersin,excuse me
gurur,pride
deki,in
demektir,means
sırada,next
ifade,expression
aferin,well done
l,l
sıkı,tight
max,max
bölüm,section
siyah,black
yazık,what a pity
kalp,heart
arka,back
verici,transmitter
m,m
suçlu,guilty
kadının,woman
oldun,you became
düşünmüştüm,I thought
yapmayı,to do
kalın,thick
herşeyi,everything
başıma,on my own
şef,chef
telefonu,phone
silahı,gun
annesi,his mother
edeyim,let me
resmi,official
gittim,i went
hoşuma,I like it
vakti,it's time
veriyor,gives
hepiniz,all of you
gider,expense
serbest,free
üst,top
göster,show
kaldım,I stayed
kadınlar,women
yla,yla
kitap,book
kelime,word
dünyada,in the world
orospu,bitch
olman,you are not
birileri,someone
günün,of the day
gidecek,will go
istiyorsunuz,you want
arabayı,the car
sürece,as long as
satın,buy
zengin,rich
sona,end
tehdit,threatening
bira,beer
ilginç,interesting
sekiz,eight  
söyleyeceğim,I will say
ettiğini,that he did
üçüncü,third
james,James
söylemiştin,you said
b,b
almış,has taken
hayatı,vital
alex,alex
olmayı,to be
na,na
tarafa,to the side
bayanlar,ladies
yıllar,years
olanlar,the ones
verdin,you gave
aptalca,stupid
mıyım,am i
nedeni,reason
danny,Danny
zamanlarda,at times
iyilik,goodness
altın,gold
istemem,I don't want
çalışan,worker
öldürdü,killed
yaklaşık,approximately
yapıyoruz,we are doing
kendin,yourself
mantıklı,logical
konuş,talk
değer,value
taraftan,from the side
isim,name
işleri,works
niçin,why
gideceğim,I will go
dua,prayer
dinleyin,listen
deniz,sea
duymak,to listen
okula,to school
yolunu,your way
yaşam,life
general,general
olacağız,we will be
herkesi,everyone
mary,Mary
güvende,safe
yapabilir,can do
yapıyorsunuz,you are doing
edelim,let's
karanlık,darkness
ayak,foot
yapmadım,I didn't
alıyor,is taking
görev,duty
kimseyi,nobody
sigara,cigarette
yaşamak,to live
çıkıp,come out
hediye,gift
çeşit,sort
ortak,partner
edip,whether
aşırı,extreme
önceden,previously
bok,shit
güven,trust
polisi,police
duyuyor,hears
elde,get
gitmiş,gone
sarah,Sarah
bey,gentleman
teki,the one
gerekecek,will need
severim,I like
alıyorum,I'm taking
geldiğinde,when it comes
sahte,fake
ee,eh
isteyen,wanting
duyuyorum,I hear
sizden,from you
muydu,was it
jimmy,Jimmy
kalacak,will stay
ahbap,buddy
parça,piece
ortadan,from the middle
mavi,blue
amerikan,American
saçmalık,nonsense
kalmadı,no more
çift,couple
d,d.
endişelenme,don't worry
hayatımı,my life
dışı,female
rica,request
kişisel,personal
kadını,woman
yo,no
elini,your hand
derece,degree
salak,idiot
fbi,FBI
kimi,who
biliyorsunuz,you know
bul,find
tan,dawn
hani,where
erkekler,men
saygı,respect
birazdan,Soon
kulak,ear
elimden,from my hand
evin,your house
ön,front
tanıyorum,I know
döndü,returned
zorundasın,you have to
gücü,strength
zeki,intelligent
çalıştım,I worked
gitme,don't go
seksi,sexy
gördüğüm,what i see
nick,Nick
verme,don't give
tebrikler,Congratulations
farkında,aware
arıyor,calling
etmez,it doesn't
söyleyin,tell me
İkinci,Second
söyler,tells
balık,fish
ten,skin
harry,Harry
ellerini,your hands
İsa,Jesus
destek,support
yüzbaşı,captain
olurum,I will be
yanımda,next to me
kutsal,sacred
insanlara,to people
ray,rail
alt,lower
yaz,Summer
gibiydi,was like
kapat,close
karım,my wife
jim,Jim
alacak,receivable
isterdim,I would have liked to
bayağı,pretty
grup,group
istediği,he wants
annemin,my mother's
öylece,just like that
türlü,kinds
gerekli,necessary
ikiniz,you two
korumak,to protect
yolda,on the road
olmadığı,is not there
geriye,back
hayatın,your life
yaptık,we did
verecek,will give
ilgisi,interest
çıkmak,to leave
epey,quite
iyidir,it is good
hoşuna,you like it
adın,your name
gerekirse,if necessary
gelmedi,did not come
ediyoruz,we do
peder,father
bildiğim,I know
tony,Tony
inanılmaz,unbelievable
olduğumuzu,we are
anlamadım,I don't understand
ders,lesson
gelmiyor,not coming
şanslı,lucky
adamla,with the man
sarhoş,drunk
defol,get out
kalmış,left
jane,jane
haline,into
mesele,issue
gir,enter
dahil,including
koy,bay
arama,call
baştan,from the beginning
hikaye,story
olduğunda,when
buydu,that was it
sıradan,ordinary
geleni,best
derin,deep
kalsın,keep it up
yiyecek,food
paris,Paris
bob,bob
bill,bill
buralarda,around here
birinci,first
söylemişti,he said
lee,Lee
götür,take away
önemi,importance
babanın,your father
yıldız,star
etmeyi,to do
olmam,I won't be
muydun,were you
arıyorum,I am searching
İnsan,Person
oyunu,game
kaza,accident
ailesi,family
şimdilik,now
başladım,I started
giden,outgoing
sorunu,problem
plan,plan
araya,put together
bilmiyorsun,you don't know
kafa,head
gördünüz,you saw
yapman,you do
buradasın,you are here
aradı,called
yerden,from the ground
ikimiz,the two of us
test,test
yaramaz,naughty
evinde,at home
yoluna,on your way
edersin,you do
unut,forget
korkarım,I'm afraid
hayvan,animal
geçmiş,past
olanları,the ones
gösteriyor,shows
çay,tea
olabilirsin,you can be
buyurun,here you go
kapalı,closed
neredesin,Where are you
şuraya,over there
zorundayız,we have to
yardıma,help
kahrolası,goddamn
sanmıştım,I thought
yoldan,from the road
aklıma,to my mind
istediğimi,what i want
zamana,to time
doğal,natural
tarafta,on the side
nesi,what
miydin,were you
birşeyler,something
çıkıyor,turns out
sevdim,i liked it
değerli,valuable
sürpriz,surprise
gitmeliyim,I have to go
konuyu,subject
parmak,finger
amca,uncle
hamile,pregnant
genelde,in general
ziyaret,visit
başarılı,successful
dünyayı,the world
sevgilim,My love
üzgün,sad
richard,Richard
akşamlar,evening
tedavi,treatment
oğlu,son-
korkuyorum,I am scared
arkasında,behind
albay,colonel
düzgün,smooth
edildi,was done
mark,mark
inanıyorum,I believe
istersin,you want
ayağa,stand up
ciddiyim,I am serious
çalışmak,to work
yargıç,judge
avukat,lawyer
edebilirim,I can
cehenneme,to hell
alayım,let me take
majesteleri,Your Majesty
sevdiğim,my beloved
arabaya,to the car
bekliyorum,I am waiting
başlıyor,is starting
konuşmaya,to talk
gittiğini,you went
sol,left
kat,floor
söylemem,I won't say
sahi,actually
çekilin,step away
seyirler,cruises
baylar,gentlemen
diyeceğim,I will say
kafayı,get high
yapabilirsin,you can do
veririm,I give
çalışma,study
can,life
akıllı,clever
istiyorlar,they want
sonuçta,after all
buldu,found
kanıt,evidence
londra,London
yle,so
hapse,to jail
yatak,bed 
şeker,sugar
şarap,wine
muyum,Am I
yarısı,half
kurtarmak,to save
değildim,I wasn't
olanı,the one
olduğunuzu,you are
mal,goods
evden,from home
güzeldi,it was beautiful
elimizde,we have
evli,married
çocukların,of children
asker,soldier
elimde,in my hand
öldürmeye,to kill
olmasına,to happen
dünyaya,to the world
olduklarını,they are
dene,try
sağlam,durable
demiştim,I said
kadarıyla,as far as
yüce,sublime
oturup,sit down
müthiş,wonderful
günde,per day
şeytan,devil
ederiz,thank you
steve,Steve
aramızda,between us
olsam,if i were
pis,filthy
kaybettim,i lost
itiraf,admission
yazıyor,writes
gözlerini,your eyes
aldık,we got
profesör,professor
bazıları,some
iğrenç,disgusting
billy,billy
sever,loves
konuşabilir,can talk
iptal,cancel
tommy,Tommy
bilim,science
olacaktır,will be
mıyız,are we
geçiyor,passing by
yada,or
girdi,entry
odasında,in his room
sonuna,to the end
süredir,for a while
daima,always
etmeyin,don't
ailem,my family
haberi,news
ettik,we did
sayılmaz,does not count
arıyorsun,you are looking for
t,t
of,Ugh
kulağa,to the ear
kime,to who?
çalış,work
şanslar,luck
yemeğe,to dinner
söylediler,they said
masum,innocent
aradım,I called
istedin,you wanted
özgür,free
teğmen,lieutenant
sorunun,your problem
kuzey,north
konuşuyor,talking
ryan,Ryan
sayesinde,thanks to
gelebilir,may come
diğerleri,others
kurban,victim
alırım,I will buy
yaşayan,live
deme,don't say
buz,ice
etmem,I won't
önüne,before
zayıf,weak
söyleyecek,will tell
alman,German
zamanında,on time
adamları,men
sandım,I thought
şurada,there
kişinin,person
sırasında,during
gelmez,does not come
konuştum,I spoke
yabancı,foreign
birazcık,a little
abi,brother
not,notes
johnny,Johnny
insanın,human being
madem,since
yeşil,green
fazlasını,more
hoşçakal,Goodbye
söylemeye,to say
memur,officer
şerif,sheriff
ileri,forward
mektup,letter
fotoğraf,Photograph
elinden,from your hand
güney,South
ünlü,famous
zamandan,from time
hallederim,I will handle it
bakmayın,don't look
uyan,wake up
bomba,bomb
etrafta,around
gemi,boat
adil,fair
nde,in
resmen,officially
çıkmış,out
hizmet,service
çin,Chinese
ikisi,the two
ölmek,to die
jake,jake
yapayım,let me do
başa,start over
daniel,Daniel
görmüş,seen
bilmiyoruz,we don't know
dönmek,return
kardeşin,your brother
ismi,name
hastaneye,to the hospital
işten,from work
anlama,understanding
düştü,fell
giriş,entrance
will,will
sıkıcı,boring
söylediğim,what i said
olmuyor,It isn't happening
kızgın,angry
yan,side
öğle,noon
evlilik,marriage
ararım,I call
çekici,attractive 
hazırım,I am ready
yüzünü,your face
metre,metre
başlayalım,let's start
işine,to your job
çavuş,sergeant
you,you
şüpheli,suspicious
bunlardan,of these
olabileceğini,could happen
beyin,brain
sırf,sheer
şansı,chance
söylemedim,I didn't say
kenara,aside
bulmaya,to find
geleceğim,I will come
bıraktım,I left
hedef,aim
söylemedin,you didn't say
saldırı,attack
gibisin,you are like
ruh,soul
İşin,Ray
yakışıklı,handsome
seçim,vote
yağmur,rain
çıkan,coming out
koş,run
rüya,dream
başı,head
bakmak,to look 
bıraktı,left
açın,open
cinsel,sexual
fırsat,opportunity
kısmı,partial
meşgul,busy
başında,at the beginning
chris,Chris
göstermek,to show
saatte,per hour
yaptığımı,what i did
resim,picture
edeceğiz,we will
İnsanların,of people
İzin,Permission
karısı,wife
ışık,light
hatırlamıyorum,I can't remember
peşinde,in pursuit
sor,sir
don,frost
robert,Robert
diyelim,let's say
parasını,his money
derhal,immediately
veren,giver
sınıf,class
getirdi,brought
askeri,military
yana,sideways
zamanki,usual
gideceğiz,we will go
iyiydi,it was good
kardeş,brother
getirin,bring it
piç,Bastard
engel,obstacle
etmiyor,it doesn't
olmuştu,had happened
annenin,your mother's
zevk,pleasure
vur,hit
hayatımın,my life
müdür,manager
uh,uh
sorumlu,responsible
bobby,Bobby
hanım,woman
öğrendim,I learned
savaşı,war
suyu,juice
uzakta,away
spor,sport
oturun,sit down
kevin,kevin
ettiğim,I did
ayrı,separate
mutluyum,I'm happy
gelince,when it comes
ters,opposite
kocam,my husband
cep,pocket
imkansız,impossible
araştırma,research
kate,kate
çalışıyoruz,we are working
dünyadaki,in the world
ortada,in the middle
kaldır,remove
odasına,to his room
yapabiliriz,we can do
öldürdün,you killed
dna,DNA
nasıldı,how was it
arkadaşlar,Friends
verdiği,given
budur,this is it
iyice,thoroughly
birbirimize,to each other
bölge,area
charles,Charles
derken,while saying
tutmak,to hold
brian,Brian
biliyordu,knew
bilgisayar,computer
domuz,pig
konusu,subject
numaralı,numbered
düğün,wedding
binlerce,thousands of
iyisini,the best
İngiliz,English
olursun,you will be
bırakıp,leave it alone
izi,trace
martin,martin
dokuz,nine
fazlası,more
odası,room
değiller,they are not
arasındaki,between
ettiği,did
konuşalım,let's talk
kişiyi,person
tarafı,side
gitmeliyiz,we must go
başla,start
şükür,thanks
gittin,you left
bahse,bet
polisler,police officers
işaret,sign
şeyim,my thing
girmek,to enter
ardından,behind
yapın,do it
ceset,body
filmi,movie
tamir,fix
özledim,I miss
başından,from the beginning
orda,there   
eddie,Eddie
uçak,aeroplane
başlıyoruz,we are starting
nda,nda
afedersiniz,excuse me
kocaman,huge
babamı,my father
birer,one each
odada,in the room
bol,plenty
kuş,bird
kahraman,hero
çılgın,crazy
geçiyorsun,you are passing
İstediğin,what you want
ihtiyaç,need
havaya,into the air
aklını,your mind
yapmamız,to do
karın,your wife
yarı,half
gerekmiyor,it is not necessary
eric,Eric
bakıyorum,I'm looking
üzerinden,over 
hariç,not including
polise,to the police
nerde,Where
kedi,cat
geride,back
taş,stone
arayıp,call and
girip,enter and
yapacağımı,I will do
amy,Amy
anna,Anna
edemem,I can't
problem,problem
nasılsınız,How are you
dönüp,turn around
İkimiz,The two of us
ilaç,medicine
sormak,to ask
aşağıda,below
anlaştık,we agreed
harekete,to action
ediyorlar,they do
canavar,monster
kendisini,himself
rapor,report
değilse,if not
başkanı,president
tutun,tobacco
konuşmayı,to talk
kurt,Kurd
dediğim,what I said
söylerim,I will tell
kıza,to the girl
kayıt,record
adında,named
döneceğim,I will be back
kaçtı,ran away
geleceğini,your future
yerlerde,in places
sır,secret
birbirimizi,each other
maalesef,Unfortunately
orta,middle
fikrin,your idea
oradaki,there
benzer,similar
